Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy
1,0.3142,0.9254,0.0158,0.9959
2,0.0133,0.9977,0.0059,0.9987
3,0.0112,0.9975,0.0058,0.9987
4,0.0100,0.9975,0.0299,0.9953
5,0.0096,0.9975,0.0044,0.9991
