Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy
1,1.2013,0.6611,0.3065,0.9125
2,0.1999,0.9448,0.1451,0.9615
3,0.0919,0.9748,0.1200,0.9686
4,0.0609,0.9830,0.0977,0.9758
5,0.0390,0.9885,0.0730,0.9806
