Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy
1,0.2290,0.9457,0.0105,0.9976
2,0.0131,0.9971,0.0206,0.9946
3,0.0094,0.9976,0.0284,0.9909
4,0.0093,0.9978,0.0055,0.9978
5,0.0103,0.9976,0.0478,0.9880
