Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy
1,1.2151,0.6536,0.5304,0.8370
2,0.3846,0.8829,0.3605,0.8888
3,0.1973,0.9411,0.3529,0.8925
4,0.1051,0.9683,0.3893,0.8902
5,0.0648,0.9807,0.3958,0.8935
