Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy
1,1.1627,0.6706,0.3326,0.9069
2,0.2090,0.9391,0.1894,0.9463
3,0.1110,0.9682,0.1268,0.9656
4,0.0706,0.9798,0.1294,0.9663
5,0.0537,0.9841,0.1112,0.9751
