Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy
1,1.6330,0.5394,0.8280,0.7601
2,0.6042,0.8196,0.5823,0.8322
3,0.3895,0.8819,0.5303,0.8463
4,0.2713,0.9158,0.5301,0.8432
5,0.1925,0.9396,0.5116,0.8592
