Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy
1,1.6430,0.5299,0.8459,0.7559
2,0.5993,0.8230,0.6003,0.8243
3,0.3846,0.8840,0.5471,0.8381
4,0.2756,0.9157,0.5002,0.8539
5,0.1911,0.9408,0.5631,0.8451
